epiweek,release_date,% WEIGHTED ILI,% UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
200201,2013-12-31,2.1347989589969,1.94142461859474,785,752,2568,728,132274
200202,2013-12-31,1.89441106110338,1.67397392676437,837,969,2875,742,171747
200203,2013-12-31,2.8310876240525,2.0683100420514,1067,1533,3743,749,180969
200204,2013-12-31,3.30481032165846,2.8730056058646,1460,2004,4797,728,166968
200205,2013-12-31,3.61062761294376,2.94909011786808,1556,2351,5557,729,188431
200206,2013-12-31,3.42799040922213,2.92857180051969,1542,2330,5624,728,192039
200207,2013-12-31,3.7671509028565,3.16382008310101,1557,2436,5924,712,187242
200208,2013-12-31,3.60018070562466,3.12120686665511,1509,2359,5760,708,184544
200209,2013-12-31,3.20024162698388,2.73514533138987,1208,1997,5104,707,186608
200210,2013-12-31,2.92632694450554,2.15301784200134,848,1558,3631,674,168647
200211,2013-12-31,2.8585713368964,1.92136412334938,731,1252,2977,652,154942
200212,2013-12-31,2.34744750116675,1.62731355241808,567,1092,2417,617,148527
200213,2013-12-31,2.23498077297822,1.46178888084206,547,913,2079,582,142223
200214,2013-12-31,1.99354910745034,1.19369613040499,397,692,1655,575,138645
200215,2013-12-31,1.37167546820205,0.895414924092713,327,467,1169,551,130554
200216,2013-12-31,1.2703282653525,0.817900614630619,247,442,1018,523,124465
200217,2013-12-31,0.999330535411108,0.705896360806593,235,389,830,504,117581
200218,2013-12-31,1.17199672167181,0.61121469825822,209,269,672,475,109945
200219,2013-12-31,1.0347212238185,0.630622188905547,169,302,673,458,106720
200220,2013-12-31,0.703599154244829,0.57357949453307,159,236,576,449,100422
200240,2013-12-31,1.22262328425065,1.16668271327356,582,805,2060,754,176569
200241,2013-12-31,1.33343810867451,1.21649539856725,683,872,2267,785,186355
200242,2013-12-31,1.31928966890338,1.13057167647777,642,878,2176,831,192469
200243,2013-12-31,1.49483509457726,1.25245768919388,728,1045,2599,863,207512
200244,2013-12-31,1.47194798338554,1.30237267481452,823,1189,2907,909,223208
200245,2013-12-31,1.58094034274748,1.40551047268734,887,1272,3225,930,229454
200246,2013-12-31,1.49426399288307,1.38436918895723,851,1173,3097,923,223712
200247,2013-12-31,1.40568657578992,1.32563064632871,802,1166,2967,922,223818
200248,2013-12-31,1.61410143362832,1.43474530490324,834,978,2709,918,188814
200249,2013-12-31,1.45966820630852,1.25432988588025,857,1117,3049,937,243078
200250,2013-12-31,1.5989593463191,1.25757008709853,804,1179,2957,928,235136
200251,2013-12-31,2.16696908291202,1.58017198710328,951,1404,3416,908,216179
200252,2013-12-31,2.57842339410209,1.98008136561159,915,937,2857,865,144287
200301,2013-12-31,2.38636019217302,1.90428346953439,1028,1019,3260,879,171193
200302,2013-12-31,1.73621011604537,1.59010374691382,1068,1296,3729,926,234513
200303,2013-12-31,2.06296186343516,1.81559058518678,1154,1798,4204,902,231550
200304,2013-12-31,2.58113164454626,2.41800599407385,1373,2998,5696,927,235566
200305,2013-12-31,2.93909470372336,2.86635164737275,1411,4064,7079,884,246969
200306,2013-12-31,3.22538895555254,3.16661987133318,1606,4447,7782,889,245751
200307,2013-12-31,3.06981876517271,3.01550130885924,1568,4224,7649,903,253656
200308,2013-12-31,3.20043606879946,2.99780183318817,1694,3689,7228,871,241110
200309,2013-12-31,2.44888415228182,2.31956736717105,1336,2583,5606,857,241683
200310,2013-12-31,2.13439644187,1.94706605585673,1015,2103,4450,839,228549
200311,2013-12-31,1.99866199516459,1.72985244040863,880,1669,3810,835,220250
200312,2013-12-31,1.9384922126962,1.51837091559749,737,1321,2987,795,196724
200313,2013-12-31,1.412931617186,1.22616420244026,624,1016,2439,775,198913
200314,2013-12-31,1.23472204047999,1.05433352915794,506,846,2028,741,192349
200315,2013-12-31,1.20004644305082,1.07108131883961,569,799,2082,735,194383
