date,ground_truth,prediction
201805,85985.0,48985.74609375
201806,87825.015625,48087.40234375
201807,76210.0,44755.46484375
201808,53025.0,41555.8671875
201809,36064.0,35891.2734375
201810,29133.0,32729.322265625
201811,25938.0,26880.888671875
201812,23805.0,21839.04296875
201813,20693.0,18932.08984375
201814,19074.0,17153.16796875
201815,16664.0,13767.9267578125
201816,14869.0,11890.44921875
201817,14552.0,11756.091796875
201818,13291.0,11206.8642578125
201819,11619.0,10943.30078125
201820,11066.0,10332.97265625
201821,10646.0,9218.2353515625
201822,9608.0,7651.68798828125
201823,8693.0,6729.466796875
201824,7573.0,6434.375
201825,7373.0,4529.2373046875
201826,6947.0,5453.4375
201827,6258.0,4297.751953125
201828,6501.0,3609.10546875
201829,5786.0,3987.7373046875
201830,5497.0,2652.37060546875
201831,5612.0,4248.4609375
201832,5861.0,4049.21484375
201833,6537.0,5391.732421875
201834,7323.0,7066.3134765625
201835,8111.0,8038.77734375
201836,9530.0,10421.0625
201837,10065.0,11657.9404296875
201838,11189.0,13046.6650390625
201839,11767.0,15345.6787109375
201840,17975.0,18477.595703125
201841,18652.0,18578.44140625
201842,19948.0,20746.9609375
201843,21634.0,22732.48828125
201844,23169.0,23249.37890625
201845,24085.0,23444.482421875
201846,24419.0,24238.943359375
201847,24635.0,25167.44921875
201848,29096.0,29278.494140625
201849,28377.0,32036.302734375
201850,33113.0,36268.4375
201851,38260.0,40061.0390625
201852,44012.0,46859.5625
201901,42135.0,50033.6796875
201902,38815.0,54358.56640625
201903,41199.0,56709.92578125
201904,46241.0,58894.140625
201905,55264.0,55745.13671875
201906,69732.0,57221.15234375
201907,70056.0,56594.8984375
201908,66461.0,53910.07421875
201909,58802.0,51416.390625
201910,55431.0,50862.75
201911,53177.0,47113.17578125
201912,45668.0,41713.71484375
201913,37948.0,37919.03125
201914,32941.0,34035.1953125
201915,27854.0,28276.07421875
201916,23147.0,24510.955078125
201917,20610.0,20694.72265625
201918,18864.0,17615.19140625
201919,17107.0,14829.5673828125
201920,16459.0,13495.2783203125
201921,15763.0,12009.48828125
201922,14776.0,12525.505859375
201923,13451.0,11411.099609375
201924,12106.0,12509.1953125
201925,10695.0,10148.3876953125
201926,10027.0,11145.09375
201927,8722.0,10557.228515625
201928,8425.0,8269.037109375
201929,8116.0,8225.953125
201930,7787.0,6884.5341796875
201931,7884.0,6443.041015625
201932,8060.0,6550.58447265625
201933,8994.0,6777.2578125
201934,10103.0,8068.59716796875
201935,11904.0,9408.068359375
201936,13188.0,11520.97265625
201937,14843.0,13476.3046875
201938,16001.0,13893.546875
201939,17453.0,17084.052734375
201940,21916.0,19712.220703125
201941,22954.0,20917.28515625
201942,24886.0,23233.220703125
201943,27419.0,25453.484375
201944,28910.0,29446.203125
201945,34586.0,30350.978515625
201946,37732.0,32037.83984375
201947,44161.0,33414.71875
201948,44044.0,37493.125
201949,48904.0,42528.91796875
201950,56444.0,44486.421875
201951,71594.0,46706.875
201952,95757.0,54009.7578125
202001,88731.0,56689.18359375
202002,75614.0,59963.60546875
202003,79783.0,63003.93359375
202004,90150.0,65423.0390625
202005,108307.0,96147.453125
202006,111361.0,97852.484375
202007,95418.0,92535.71875
202008,80559.0,88891.390625
202009,74823.0,77292.59375
202010,78779.0,67734.40625
202011,89607.015625,54200.7578125
202012,78584.0,42131.1953125
202013,53142.0,33859.0546875
202014,36251.0,28348.55078125
202015,24974.0,21131.01953125
202016,18274.0,17573.37890625
202017,15164.0,15490.306640625
202018,12821.0,16516.169921875
202019,11058.0,16396.138671875
202020,10480.0,17769.9375
202021,11416.0,17060.05078125
202022,9605.0,14336.470703125
202023,9318.0,14716.607421875
202024,9572.0,12991.28125
202025,11866.0,12186.107421875
202026,15490.0,9629.4052734375
202027,17826.0,6456.3525390625
202028,20043.0,5224.5009765625
202029,19250.0,4528.82373046875
202030,16523.0,575.8583984375
202031,15514.0,4055.25244140625
202032,14103.0,5108.00927734375
202033,13131.0,7615.51123046875
202034,12900.0,11723.3837890625
202035,13138.0,14771.82421875
202036,12232.0,19306.453125
202037,13001.0,22113.34375
202038,13005.0,22745.89453125
202039,14457.0,28465.38671875
202040,16570.0,32820.04296875
202041,19194.0,32386.91015625
202042,17281.0,33352.6328125
202043,18187.0,37662.40234375
202044,18612.0,37256.890625
202045,21410.0,35802.3515625
202046,22623.0,37762.859375
202047,22722.0,38122.69921875
202048,21320.0,42236.3984375
202049,22305.0,45524.64453125
202050,22219.0,48936.2265625
202051,20886.0,52991.16796875
202052,19852.0,62619.2578125
202053,22436.0,67470.046875
202101,22720.0,75101.703125
202102,19194.0,79328.75
202103,18353.0,84460.609375
202104,16910.0,62582.62890625
202105,16101.0,69009.796875
202106,14108.0,71795.3828125
202107,12602.0,76859.15625
202108,13347.0,79653.734375
202109,13017.0,83951.671875
202110,14098.0,85557.640625
202111,14580.0,86663.453125
202112,15359.0,82903.03125
202113,15994.0,73559.5546875
202114,18148.0,67587.078125
202115,19177.0,57907.49609375
202116,19313.0,47736.8125
202117,20134.0,41021.875
202118,19937.0,34729.765625
202119,20373.0,31410.423828125
202120,21266.0,28484.921875
202121,19685.0,26228.138671875
202122,20152.0,27237.068359375
202123,19188.0,25808.794921875
202124,19672.0,24747.3671875
202125,19896.0,24722.19921875
202126,20103.0,23577.41796875
202127,22376.0,22782.7421875
202128,25263.0,24111.341796875
202129,30554.0,19926.5546875
202130,35221.0,17166.58203125
202131,37762.0,17251.375
202132,40069.0,18358.369140625
202133,42753.0,19215.236328125
202134,43062.0,19845.65625
202135,40878.0,19608.1171875
202136,39438.0,19012.4296875
202137,36222.0,21745.59765625
202138,34019.0,23365.21484375
202139,30002.0,27023.94921875
202140,39606.0,29088.880859375
202141,37639.0,31154.642578125
202142,35684.0,35927.65625
202143,36616.0,38956.76953125
202144,39986.0,41160.140625
202145,44242.0,44126.2421875
202146,47047.0,50099.59375
202147,43297.0,55247.4140625
202148,52671.00390625,59296.421875
202149,55027.0,61563.41796875
202150,62539.0,62000.94921875
202151,79184.0,65818.34375
202152,113921.0,67598.25
